ITItem,RCA,Description
Rapid LR 2.0,Clarification,"HI @Suraj Bhambure , As discussed in Rapid Lr logs Responsebusiness is not stamping on excluded cases, please help to stamp it so that we can create the funnel business wise excluded cases with reasons."
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure bfl_std_lake.insurance_distribution.pb_campaign_master_rlr in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7869332 )
Rapid LR 2.0,Data Synching Issue,"Hi, Please change the default campaign as per below- Old Campaihn -BFL_RAPIDLR_PLCS_PPL_TAM_PUNE Change with this campaign - BFL_RAPIDLR_PPL_NTB_TAM_CHE"
Rapid LR 2.0,Clarification,"Dear team, Please check below screenshots of Mis logs and logs table in V5 version no campaigns are triggered, sample cases of 17 dec has been attached. bfl_lake.icors_cosmos.vw_pldigital_logs logs table mis logs"
Rapid LR: PL Urban,Master Maintenance,"Hi @Raj Singh4 , kindly refresh AA table as I update existing table."
Rapid LR: PL Urban,Master Maintenance,"Hi @Raj Singh4 , Kindly refresh table as I have updated this today."
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the below mentioned branch master tables - BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.PLTB_MASTER"
Rapid LR 2.0,Default,"Hi @Mohit Agarwal @Mounika Pokala , Please update the master's for below mentioned table. BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.PLTB_MASTER"
Rapid LR 2.0,Data Synching Issue,"Hi, Please change the default campaign as per below- Old Campaign- BFL_RLR_PLP_GR_AI_BOT_HIN_Pune New Campaign- BFL_RAPIDLR_PLCSG_DUMMY_PUNE"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the below mentioned master tables at @Mohit Agarwal and @Mounika Pokala end today only because we are going live as Growth_SE from tomorrow , so please update the master acordingly- BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.PLTB_MASTER bfl_std_lake.pl_coe_mart.vw_ntb_master bfl_std_lake.plds_biz.dnd_rk_campaign_master_ntb"
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master for below mentioned table at @Mohit Agarwal and @Mounika Pokala end- bfl_std_lake . pl_coe_mart . vw_rapidlr_dl_event_master"
Rapid LR 2.0,Master Maintenance,Please Refresh for Rural Master Sync in Cache Memory REASON: Update in branch campaign Master & Field Master bfl_std_lake . rural_coe_analytics .rural_field_allocation_master_rapidlr
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7772731 )
Rapid LR 2.0,Clarification,Hi Team please check 3in1 Rapid LR Callback Frame Dedupe not working. Samples - for the same mobile f52a4454-fbb6-457f-bd7c-ca1d857cc4ee c1df74b6-a771-432f-86b5-eb6be53a56d8 4d0a0367-1bc2-4e10-8ec7-931675c1eb61 not seeing duplicate lead status post 2024-1st Oct (screenshot 3rd)
Rapid LR: PL Urban,Master Maintenance Issue,"Hi @Raj Singh4 , kindly refresh AA table as I update existing table."
Rapid LR 2.0,Clarification,"Dear team , please find below sample leads where B2C already created and offer hold leads are coming in S2S RAPID LR . SAMPLE LEADS . Camp Customer id Agent Dispo CRM RAPID 8084723721 Melisa OFFER HOLD CRM RAPID 9327835718 Melisa OFFER HOLD CRM RAPID 6207477026 Melisa OFFER HOLD CRM RAPID 8607534750 Melisa OFFER HOLD CRM RAPID 9123081053 Melisa OFFER HOLD RCS CAMP 7021998361 Melisa ALREADY SALE CRM RAPID 9390676195 Melisa ALREADY SALE RCS CAMP 8196853828 Melisa ALREADY SALE SALP RAPID 8720906078 SHRUJAN ALREADY SALE SALP RAPID 9267900856 SHRUJAN ALREADY SALE SALP RAPID 9661776195 SHRUJAN ALREADY SALE SALP RAPID 6377452972 SHRUJAN ALREADY SALE SALP RAPID 7899555105 SHRUJAN ALREADY SALE SALP RAPID 6202699338 SHRUJAN ALREADY SALE SALP RAPID 6352782986 SHRUJAN ALREADY SALE SALP RAPID 8459107424 SHRUJAN ALREADY SALE"
Rapid LR 2.0,Clarification,PFA BLSE journey convert leads for November month that were not received in the Rapid LR table. Please check and share the reasons why these leads were not sent to the Rapid LR Sample Mobile Numbers - Mobile 46F3E342DFC164C682088F6CB2A58047650FB356A4FC5A5198A22AB56DC6992B 9B7734843127D03CE4CAC549E4F2099F86544AC71CC3294C7FF220328D17CFD2 4FC0F10DBDC96EF46380F3D81433AFC4EE1D762EBA67DC6B2A44D48A0E4395BB B787BE0EC6E8640660ACD63598D8DDFC4A28E98802AF72E6DE12687D7CB627E6 E8BFCFE0915491EC0620BBFF5BB6538076562CBFC29B4FB1B783971629953EE1
Rapid LR 2.0,Master Maintenance,"Hi, Please update the master table at @Mohit Agarwal and @Mounika Pokala end- bfl_std_lake.pl_coe_mart.vw_rapidlr_dl_event_master"
Rapid LR 2.0 Wheels,Clarification,"Hi Team, As discussed over call please check attached leads are rejected due to ""pincode not servicable"" but pincode is available in masters."
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the master's for below mentioned table. BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER bfl_std_lake.pl_coe_mart.PLTB_MASTER"
Rapid LR 2.0,Clarification,"Hi @Suraj Bhambure , Please check the below sample cases where rejected loan application status cases are flowing into Rapid LR for the PPL business. B2C ID Hash Number Mobile Number B2C000173443364 E06EE49D6EBF8E09359FF1B2ACC44E58200D69CBBF97474A64DE9ED9CF1DA134 9967080801 B2C000172020405 C99FBB7F18C9003C98D311D025650D119BCC6FE5AFCEEFD35625B32BBA9513CC 7499113123 B2C000171766284 E4EEC8AF1D7B533B09ADBCF05B2E986B0006E3E686DA2C0BF3621A2F117BBDD7 9371797777 B2C000172131375 CE9FA8345C29FCD94EA02321D9B13CF8B8CC06694D5155858D7BC597770968B7 9960951077 B2C000173169620 5961C7A38A36D69776FD70941BF9FE6B15EE5868C75E16FFFA4C515DBFA85B5A 8105315885 B2C000173481801 C7B89B0AA0433A07F24F6E6096C44D0F403FFDDFF37432BB1C477BAF23A959C2 8857993009 B2C000173225848 6AC643CC04520518854409820BAA05766462F6FDDE26E670156AEC5E818CCC16 9533247092 B2C000172880797 2459EF2A25826A32B30B9B4689F2E8AE92C9237993A32EBE130EE3F747C5B072 9325227944 B2C000173134690 A510717CE46784381C56113FC3B295556652B727949ED67A0B7AC2DD0CC7A917 9637645496 B2C000173307182 A5339BF2E78F1FD54EC9108BF9679B5C05840DBF4458779CED05025AD6EA7902 9594587284 B2C000173363891 4B265E1E90FDABE8BEA949CB95AC0CD30A79D4B8B2000FE95E5B7F0D8636E46A 8177916637 B2C000172857032 E4280235664A7E3BA862A39B41237AE49CAEA9894F7ACF047183AA72658801FC 9819460213 B2C000173344537 F0F7828771AB29CB7CD715EEDF7963E6E5BBBD5CAEB26E59F7169491045AC2BA 9740510732 B2C000173360449 45CF5310C3D1FA4FC968405126E3C1D91E4A72886C25E6337F717F2314CEE6EF 7887771586 B2C ID Campaign Name B2C000173307182 RAPIDLR_PPL_NTB_HIN_PUNE_CG B2C000173225848 3in1_PPL_EHM_PUNE_CG B2C000173134690 RAPIDLR_PPL_NTB_HIN_PUNE_CG B2C000172880797 RAPIDLR_PPL_NTB_HIN_PUNE_CG B2C000172857032 RAPIDLR_PPL_NTB_HIN_PUNE_CG B2C000173363891 3in1_PPL_EHM_PUNE_CG B2C000173360449 RAPIDLR_PPL_NTB_HIN_PUNE_CG B2C000173443364 RAPIDLR_PPL_NTB_HIN_PUNE_CG B2C000173344537 BFL_RAPIDLR_PPL_NTB_KAN_PUNE B2C000173169620 BFL_RAPIDLR_PPL_NTB_KAN_PUNE B2C000172020405 OMPL_ROM_NTB_PUNE_CG B2C000171766284 RAPIDLR_PPL_NTB_HIN_PUNE_CG B2C000172131375 OMPL_ROM_NTB_PUNE_CG B2C000173481801 OMPL_ROM_NTB_PUNE_CG B2C000173290677 OMPL_ROM_NTB_PUNE_CG Adding @Meetesh Kumar"
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the branch master for below mentioned table. bfl_std_lake.pl_coe_mart.vw_rapidlr_dl_event_master"
PL at POS,Source System Issue,The data flow stopped for Sunday 28th Dec
Rapid LR: PL Urban,Clarification,"Kindly check the below CONVAI BOT events are not pushed to the RAPID LR table, resulting in the business team being unable to contact these customers. Request you to please identify the root cause and resolve the issue on priority. Event Name SAL_PreApproved_B2C_CONVERT_CONVAIBOT SAL_PreApproved_B2C_OFFER_VIEW_CONVAIBOT SAL_PreApproved_B2C_EMPLOYMENT_CONVAIBOT SAL_PreApproved_B2C_PERSONAL_CONVAIBOT"
Rapid LR 2.0,IT Requests,"Hi , Please help to update link in below Drop off communication . Please refer New link column to update the links Campaign Name Campaign ID Old Link New Link PTB_Insta_Dropoff 63258282 https://www.bajajfinserv.in/webform/emicard/login?utm_source=PMG&utm_medium=SMS&utm_campaign=PMG_SMS_RT_UN https://www.bajajfinserv.in/blu/?jid=iemi&utm_Template=generic&utm_source=PMG&utm_medium=WA_SMS_CB&utm_campaign=PMG_SMS_RT_UN NTB_Insta_Dropoff 63274382 https://www.bajajfinserv.in/webform/emicard/login?utm_source=PMG&utm_medium=SMS&utm_campaign=PMG_SMS_RT_PN https://www.bajajfinserv.in/blu/?jid=iemi&utm_Template=generic&utm_source=PMG&utm_medium=WA_SMS_CB&utm_campaign=PMG_SMS_RT_PN ETB_Insta_Dropoff 63276182 https://www.bajajfinserv.in/webform/emicard/login?utm_source=PMG&utm_medium=SMS&utm_campaign=PMG_SMS_RT_VC https://www.bajajfinserv.in/blu/?jid=iemi&utm_Template=generic&utm_source=PMG&utm_medium=WA_SMS_CB&utm_campaign=PMG_SMS_RT_VC KYC_Drop_Off_12thJuly 72231982 https://www.bajajfinserv.in/webform/emicard/login?utm_source=PMG&utm_medium=SMS&utm_campaign=PMG_SMS_RT_KN https://www.bajajfinserv.in/blu/?jid=iemi&utm_Template=kyc&utm_source=PMG&utm_medium=WA_SMS_CB&utm_campaign=PMG_SMS_RT_KN"
Rapid LR 2.0,Master Maintenance,"Hi @Mohit Agarwal @Mounika Pokala , Please update the event master for below mentioned table. bfl_std_lake.pl_coe_mart.vw_rapidlr_dl_event_master"
Rapid LR 2.0,Master Maintenance,Hi @Mounika Pokala / @Suraj Bhambure Please sync the table bfl_std_lake.insurance_distribution.pincode_health_master in Rapidlr Please refresh it after it refresh at ICORS. Note: I have already raised the ticket for ICORS refresh ( 7869396 )
Rapid LR 2.0,Master Maintenance,"Hi @Mounika Pokala @Mohit Agarwal , Please update the branch master for below mentioned table. BFL_STD_LAKE.PL_COE_MART.RAPIDLR_BRNCH_CHNL_MASTER"
Rapid LR 2.0,Clarification,"Hi Team, As we checked these number data in Lead lounge as well, there is no entry in LL as well in Jan Month. Please check if is there any issue from Airtel end. Please find the below mentioned query. Please find below sample cases for your reference: MOBILE__C 18A12CD9B39647425DA4CABA4B91C4DF2BF43ABDE092618B999DE1A7BD838FE3 CAA507DE1EED5DCCEDCFC63C0AE57B0F23D47A09B2027D54908060491F31EB1F E551ECBC7B59BA47E24DF5C1B6EF6656E0AE77A79BECA3BDC6981D1D8F4CE9E7 BABF3302F220EFD5963633DDB10827E4EB699FEA745B2570FB7BB1EB93D6C223 4FC46BC2202A5FED0C2C1FEEDEFDD94BB745B2ADED7523507BE3729DD8426311 B0E60C47B9B6EBD42645CA4497213AF6B5ABD7CD5699C08D513A1CD024087E54 B7F59E399A5114F0AFAB00689BBAB0BD0EA13D018996D06451C07690E113F383 1F04FBDBED256DE01D41C8FB7D3D1E821B333C2568131C11A6F25CD90F4AA6F2"
